make,transmission,state,condition,odometer,auction_value,selling_price
chevrolet,automatic,md,3.3,48767.0,11200.0,11000.0
,automatic,pa,2.8,44825.0,11150.0,11300.0
honda,automatic,nj,2,30883.0,13950.0,9800.0
chevrolet,automatic,ne,4,,32300.0,34200.0
chrysler,automatic,va,3.4,19078.0,13100.0,12800.0
toyota,automatic,az,3.5,34673.0,10900.0,11800.0
ford,automatic,wi,1,7945.0,23000.0,7500.0
honda,automatic,nc,2.7,232585.0,3150.0,4200.0
nissan,,fl,4.6,14329.0,,14200.0
toyota,automatic,tx,3.5,56812.0,17400.0,18500.0
ford,automatic,ca,3.6,32332.0,20700.0,21300.0
,automatic,fl,4.9,11995.0,12300.0,12900.0
hyundai,automatic,wi,,49411.0,11650.0,11200.0
dodge,automatic,pa,4,17307.0,,17000.0
ford,automatic,tx,4.4,21061.0,,16900.0
nissan,automatic,mo,2.9,56550.0,7900.0,7300.0
toyota,automatic,fl,4.3,61665.0,9425.0,10300.0
ford,automatic,fl,4.7,10938.0,22500.0,23800.0
bmw,,ga,4.9,40419.0,34500.0,35400.0
nissan,automatic,pa,2.7,24444.0,12900.0,12100.0
nissan,automatic,nj,3.4,23886.0,13800.0,14300.0
nissan,automatic,,4,28705.0,13550.0,13600.0
honda,,mo,4.6,23401.0,21700.0,23100.0
toyota,automatic,pa,4.7,19991.0,29000.0,28750.0
,automatic,tx,4.3,51557.0,16600.0,17200.0
honda,automatic,pa,3.4,53797.0,9075.0,8500.0
ford,automatic,tn,4.1,68777.0,20700.0,20500.0
chevrolet,,tx,2.8,130431.0,11850.0,12500.0
toyota,automatic,tx,3.2,34318.0,20300.0,20500.0
nissan,automatic,il,4.3,18397.0,14800.0,13200.0
chrysler,automatic,fl,3.5,52126.0,9625.0,9300.0
,automatic,tx,5,5388.0,35200.0,36200.0
chevrolet,automatic,ca,2.4,74441.0,8100.0,8800.0
ford,automatic,ga,5,4840.0,,19000.0
,automatic,ca,4.1,32606.0,36300.0,26500.0
toyota,automatic,wa,2.9,27686.0,15650.0,15000.0
bmw,automatic,nj,2.7,62239.0,24500.0,24400.0
dodge,automatic,fl,4.6,19977.0,16150.0,16100.0
,automatic,fl,3.2,68984.0,,6700.0
ford,,ca,2,29707.0,11950.0,7500.0
chevrolet,automatic,oh,3.6,,,10400.0
chevrolet,automatic,ga,4.8,27405.0,12100.0,11500.0
bmw,automatic,wa,4.5,39052.0,28500.0,27750.0
nissan,automatic,tn,1.9,,8425.0,7700.0
ford,automatic,mo,4.4,98619.0,12950.0,14800.0
chevrolet,automatic,fl,3,25270.0,13200.0,13400.0
ford,automatic,fl,4.3,27794.0,28000.0,29700.0
nissan,automatic,fl,2.3,30956.0,11800.0,10000.0
dodge,automatic,ca,4,23606.0,16000.0,16400.0
chevrolet,automatic,mn,4,113839.0,19850.0,16300.0
honda,automatic,ga,2.8,,12400.0,11400.0
hyundai,automatic,tx,4.3,35317.0,,12000.0
ford,,fl,4.9,14396.0,12350.0,12600.0
ford,automatic,ga,4.8,21100.0,31100.0,33000.0
nissan,automatic,ga,,90243.0,5775.0,3100.0
hyundai,,tx,3.5,54511.0,12800.0,13000.0
,,tx,1.9,53489.0,30400.0,23500.0
ford,automatic,nv,3.7,65243.0,12250.0,12600.0
